artists,album,title,title_with_featured,lyrics,url
Bad Bunny,X 100pre,NI BIEN NI MAL,NI BIEN NI MAL,"[Letra de ""NI BIEN NI MAL""]

[Intro: Bad Bunny]
Yeh-yeh
Yeh-yeh
Yeh-yeh

[Coro: Bad Bunny]
Sin ti no me va bien, tampoco me va mal (Yeah)
Pase lo que pase no te voy a llamar
Ya yo me quité, tú nunca me va' a amar (Na)
Pa' no pensar en ti tengo que fumar
Sin ti no me va bien, tampoco me va mal
Pase lo que pase no te voy a llamar
Ya yo me quité, tú nunca me va' a amar
Pa' no pensar en ti, tengo que fumar

[Verso 1: Bad Bunny]
Hoy voy a romper la noche, hoy yo voy a janguear (Wuh-huh)
Hoy voy a prender y no lo voy a pasar (Yeh)
Te juro por mami que en ti no vo'a pensar
Errores como tú no me vuelven a pasar (Yeh)
A veces las noches se vuelven martirio
Como nuestro amor que se volvió un delirio
Mi alma está en guerra, es terreno sirio (Ey)
Las botellas de vino terminan en vidrios (Ey)
Y tu puteando, en verdad que te envidio (Ey)
Pero nada
Tú vas a extrañarme cuando abras la cartera y no tengas nada
Cuando él te lo meta y no sientas nada
Cuando te sientas sola, perdida en la nada
Tú puedes arreglarlo, pero no haces nada
Baby, gracias por nada (Ey)
Ahora sobran los totos y los chavos (Ey)
Tu amiga dando like, si le meto, la grabo (Ey)
Me cago en tu madre y la de tu abogado
Prende la radio, te dejo un recado

[Coro: Bad Bunny]
Sin ti no me va bien, tampoco me va mal (¡Yeh!)
Pase lo que pase no te voy a llamar (¡No!)
Ya yo me quité, tú nunca me va' a amar
Pa' no pensar en ti, tengo que fumar (Prr-prr-prrr)
Sin ti no me va bien, tampoco me va mal
Pase lo que pase no te voy a llamar
Ya yo me quité, tú nunca me va' a amar
Pa' no pensar en ti tengo que fumar, ah, ah

[Verso 2: Bad Bunny & Miky Woodz]
Lo mejor de todo es que ahora pa' salir
No tengo que esperar que te termines de vestir
Hoy es noche 'e maldad y me voy a divertir
A tu amiga la acabo 'e partir
Como dice Miky: ""No te vo' a mentir"" (No te vo' a mentir; Prr-prr-prr)
Fui uno más de tu colección
No sé, entre tú y yo ya no hay conexión
Pa'l carajo el perdón, no hay reconciliación
Ahora te toca llorar en tu habitación
(Porque ni por Dios cojo una llamada tuya)
Yo nunca forzo, dejo que todo fluya
(Te pasas en las redes tirándome puya')
Quieren mi vida y no pueden con la suya

[Coro: Bad Bunny]
Sin ti no me va bien, tampoco me va mal
Pase lo que pase no te voy a llamar
Ya yo me quité, tú nunca me va' a amar
Pa' no pensar en ti, tengo que fumar

[Outro: Bad Bunny]
Sin ti no me va bien, tampoco me va mal
Pase lo que pase no te voy a llamar
Ya yo me quité, tú nunca me va' a amar
Pa' no pensar en ti, tengo que fumar",https://genius.com/Bad-bunny-ni-bien-ni-mal-lyrics
Bad Bunny,X 100pre,200 MPH,200 MPH (Ft. Diplo),"[Letra de ""200 MPH"" ft. Diplo]

[Intro]
¡Ju-Ju!
Yeh-yeah-yeah
Yeah-yeah-yeah-yeah

[Coro]
A 200 millas en un jetski, ¡eh!
Si tú quieres te lo meto aquí, ¡eh!
Debajo del sol, debajo del sol, ¡ey!
A 200 millas en un jetski, ¡eh!
Si tú quieres te lo meto aquí, ¡eh!
Debajo del sol, debajo del sol, ¡eh!

[Verso 1]
Tempranito en la mañana, mornin'
Pollitos de marihuana, join me, ¡eh!
Llegamos a la beachy (¡Wouh!)
'Tás culona, flow Rikishi
Dinero, Dinero, me falta Wichy (¡Wichy!)
Me siento Ray, pero Richie (¡Wouh!)
La nena me salió bitchy (Ja')
Tú no me quieres, mi chichi (No, no, no)
El traje de baño no es tan caro, es de JCPenney (Jeje)
Pero te buceo con to' y tenis (Pu, pu, pu)
A ti te doy a cualquier hora, como a Denny's
Te pongo a tocar flauta, flow Kenny (Yeh, yeh, yeh)
Hoy de nuevo (De nuevo)
Si no quieres, a tu amiga dale relevo (¡Wouh!)
Eh, yo me atrevo (Atrevo)
Si es contigo, yo me atrevo (¡Ey!)

[Coro]
A 200 millas en un jetski, ¡eh!
Si tú quieres te lo meto aqui, yeh
Debajo del sol, debajo del sol, ¡eh!
A 200 millas en un jetski, ¡eh!
Si tú quieres te lo meto aquí, ¡eh!
Debajo del sol, debajo del sol, ¡ey!

[Verso 2]
Que to' los culos se quemen
Yo soy la ola, cabrones, es mejor ni remen (¡No!)
Ah-Ah-Ah, goddamnit (Prr)
Les pasé po' encima con las white cement (Yeh, yeh, yeh)
Ando de blanco entero, flow santero (Yeh)
Las doñas encima de mí como si cantara bolero
Rumba buena, timbalero
Si tú quieres me caso contigo adentro de un velero, ¡ey!

[Coro]
O 200 millas en un jetski, ¡ey!
Si tú quieres te lo meto aquí, ¡eh!
Debajo del sol, debajo del sol, ¡eh!

[Outro]
Yeah-yeah-yeah-yeah-yeah-yeah
Bad Bunny, baby
Be-be-be
Diplo
Eh-Eh, Diplo
¡Wouh! Diplo
Eh-Eh, Diplo
¡Wouh!",https://genius.com/Bad-bunny-200-mph-lyrics
Bad Bunny,X 100pre,¿Quién Tú Eres?,¿Quién Tú Eres?,"[Letra de ""¿Quién Tú Eres?""]

[Intro]
Uh-uh, uh-uh-uh-uh
Rrrrr, ah-ah, ah-ah-ah-ah
Rrrrr, uh-uh, uh-uh-uh-uh
¡Rrrrrrah!

[Estribillo]
¿Quién tú eres? Ey
Dime, socio, ¿quién tú ere'?
Pa' frontearme a mí, ¿quién tú eres? Ey
Habla claro, ¿quién tú ere'? Ey
Huele bicho, ¿quién tú ere'? Ey
Dime, socio, ¿quién tú ere'?
Pa' frontearme a mí, ¿quién tú eres? Ey
Habla claro, ¿quién tú eres?
Yeah, ven acá

[Verso]
¿Cabrón, tú me pagas los biles? (¡No!)
Tú hablando de mí y yo haciendo mile'
Otro palo pa' encima 'e los files', ey
Tú robando en Macy's y yo en el desfile
Hoy quiero una uruguaya y otra de Chile, ey, ey
Otro que me tira (¿Ah?)
Cabrone', entiendan que pa' acá no se mira (¡No!)
Ya mismo te cae, te tengo en la mira (Yeh; prr)
Tú metío' en tu casa y yo de gira (Jaja)
Voy a las millas, como Toretto (¡Fum!)
¿Qué tú ere' el más duro? Te reto
Yo tengo el imán, yo soy el Magneto, ey
A tu envidia en la cara le meto (Tss, tss-tss)
Iván Calderón, pero a peso completo
Ey, la familia en el Costal (Wuh)
Ustede' son mis hijo' (Acucucu), pero los tuve que abortar
Me hice dueño del mundo y no lo quiero soltar
Por eso no me importa un carajo...

[Estribillo]
¡Quién tú ere'! (Ey)
Dime, socio, ¿quién tú ere'?
Pa' frontearme a mí, ¿quién tú eres? Ey
Habla claro, ¿quién tú eres? Yeh-¡Ah!
¿Quién tú ere'?

[Outro]
Who are you?
I know you know who I am
The whole world knows who I am
But who are you, nigga? Nobody
You nobody, motherfucker
Ask around, nigga, ask around
The whole world knows
Even you know, I'm the one
Who the fuck is you? Nobody
Motherfucker! Rrrah!",https://genius.com/Bad-bunny-quien-tu-eres-lyrics
Bad Bunny,X 100pre,Caro,Caro,"[Letra de ""Caro""]

[Estribillo: Bad Bunny]
Me ven y me preguntan por qué visto caro, eh
¿Tú no ves que yo soy caro?
De lejos se nota que mi flow es caro, eh
Que con nadie me comparo
Yo le llego y normal, ey, me miran raro, eh
Pero a nada yo le paro
Yo sé cuánto valgo, yo sé que soy caro, eh
Que pa' ti soy caro

[Verso 1: Bad Bunny]
Antes mami decía: ""Está to' caro"", eh
Eso' tiempo' se acabaron
Yo soy como Durant, yo la cojo y va pal' aro, prr
Como si fueran disparo'
Las regla' yo las rompo', y las reparo, eh
Yo sé que ese culo e' caro
Lo' mismo bebo Moët, eh, que bebo guaro
""¿Tú ere'?"" Otra ve' me preguntaron

[Puente: Bad Bunny]
¿Qué carajo' te importa a ti? Ey
Cómo soy yo, eh
Qué digo yo, eh
Qué hago yo
¿Qué carajo' te importa a ti? Eh
Cómo soy yo, eh
Qué digo yo, eh
Qué hago yo
¿Qué carajo' te importa a ti?

[Verso 2: Bad Bunny]
Vive tu vida, yo vivo la mía
Criticar sin dar ejemplo, qué jodí'a manía
Por sólo ser yo y no como se suponía
Hasta que nos dé pulmonía
Y aquel se encojonó porque no contesté, sorry
No quiero hablar con usté', eh
Yo tengo la salsa, también el ballet
Por eso cuando dejo la máquina en el valet

[Estribillo: Bad Bunny]
Me ven y me preguntan por qué visto caro, eh
¿Tú no ves que yo soy caro?
De lejos se nota que mi flow es caro, eh
Que con nadie me comparo
Yo le llego y normal, ey, me miran raro, eh
Pero a nada yo le paro
Yo sé cuánto valgo, yo sé que soy caro, eh
Que pa' ti soy caro

[Interludio: Bad Bunny, Ricky Martin, Bad Bunny & Ricky Martin]
¿Por qué no puedo ser así?
¿En qué te hago daño a ti?
¿En qué te hago daño a ti?
Yo solamente soy feliz
¿Por qué no puedo ser así?
¿En qué te hago daño a ti?
¿En qué te hago daño a ti?
Y solamente soy feliz
Solamente soy feliz
Solamente soy feliz (Solamente)
Solamente soy feliz (Solamente)

[Estribillo: Bad Bunny]
Y ser feliz nunca me ha salido caro, eh (No)
Ahora veo todo claro
Con dinero y sin dinero, mi flow es caro, eh
Y con nadie me comparo
Hoy yo le llego y normal, eh, me miran raro, eh
Pero a nada yo le paro
Yo sé cuánto valgo, yo sé que soy caro, eh (¿Cómo?)
Que pa' ti soy caro, eh

[Outro: Bad Bunny]
Bad Bunny, baby, be', be'
Wuh",https://genius.com/Bad-bunny-caro-lyrics
Bad Bunny,X 100pre,Tenemos Que Hablar,Tenemos Que Hablar,"[Letra de ""Tenemos Que Hablar""]

[Intro]
Yeh-yeh-yeh-yeh-yeh
Yeh-yeh-yeh-yeh-yeh
Yeh-yeh-yeh-eh

[Coro]
Odio tus mensajes, cuando dices
Que tenemos que hablar
Oh Dios, ¿qué yo hice?, ¿qué yo hice?
Que tenemos que hablar
Odio tus mensajes, cuando dices
Que tenemos que hablar
Oh Dios, ¿qué yo hice?, ¿qué yo hice?
Que tenemos que hablar
Yeah, yeah, yeah, yeah

[Verso 1]
Dime, ¿a quién ahora me tiré? (Me tiré)
¿O fue por la que miré?, yeh
Fui pa' la disco y viré, eh (Y viré)
Y ni respiré (No, no, no)
Bueno, hice un par de amigas nuevas
Pero nada más, ahí se queda
Además, ¿tú crees que yo me atreva? Nah
Ni aunque una rola me beba
Oh, wait, hablando de eso
Puede ser que yo bien loco me di un beso, eh
Pero sólo eso, oh
Pero sólo eso
Y hablando claro, ma', yo ni me acuerdo
Te juro que ni me acuerdo
Benito, puñeta, ¿cómo carajos que tú no te cuerdas? Si siempre me haces lo mismo. ¿Tú te crees que yo soy pendeja?
Así que dame un beso y pichea que tenemos que hablar

[Coro]
Odio tus mensajes, cuando dicen
Que tenemos que hablar
Oh Dios, ¿qué yo hice?, ¿qué yo hice?

[Puente]
Dime cuál fue mi delito
Si yo soy un angelito
Yeh-eh, eh

[Refrán]
Y dime quién, ey
Dime quién, ey, eh
¿Quién te dijo otra mierda de mí?
Otra mierda de mí
Yeh-eh, eh

Y dime quién, ey
Dime quién, ey, eh (Dime)
¿Quién te dijo otra mierda de mí? (Dime)
Otra mierda de mí (Ey, ey, ey)
Yeh-eh

[Verso 2]
Apuesto que fue tu amiga, ey
Siempre le he caído mal
O tu primo gay, Omar
Yo siempre le he gusta'o
Tú lo sabe', eso es normal
Baby, ey, tienes que pensar
Y no hacer un show, pero ya se lo dijiste a mami
Porque me envió un mensaje ahora mismo
Que tenemos que hablar

[Coro]
Odio tus mensajes, cuando dices
Que tenemos que hablar
Oh Dios, ¿qué yo hice?, ¿qué yo hice?
Que tenemos que hablar
Odio tus mensajes, cuando dices
Que tenemos que hablar
Oh Dios, ¿qué yo hice?, ¿qué yo hice?",https://genius.com/Bad-bunny-tenemos-que-hablar-lyrics
Bad Bunny,X 100pre,Otra Noche en Miami,Otra Noche en Miami,"[Letra de ""Otra Noche en Miami""]

[Intro]
Yeh, yeh

[Verso 1]
Diez en punto de la noche y salgo como de costumbre
Prendas en diamantes que cieguen cuando me alumbre
Me diferencio de la muchedumbre
A mi estilo puede que no te acostumbre'
No sé si irme en el Mercedes o en el Maserati
Modelos extranjeras que me dicen ""Papi""
Están tirando al cel, ya me quieren ver (Ah)
Seguramente, ya están locas por coger
Pero soy yo quien les llevo la champaña
Si no es con Moët, la rubia no se baña
Me voy de viaje y a las dos hora' me extraña
O mejor dicho, el dinero que me acompaña
Soy todo un Fazza en la ciudad del sol
No voy a tiendas, pues yo soy dueño del mall
Soy Cristiano después de meter un gol
Tengo a francesas hablándome en español
Y siempre mucho Gucci, mucho Ferra', Louis Vuitton
Yo no uso Retro, pero tengo to'a la colección
Pa'l Khalifa Kush tengo la conexión
Pa'l avenue Miami Beach e' mi dirección (Ah)
Todo es superficial, nada real
Nada raro que el dinero no pueda comprar
Penthouse con vista al mar
Es lo único que tengo pa' poder pasar

[Coro]
Otra noche en Miami (Yeh)
Otra noche en Miami
Otra noche en Miami
Otra noche en Miami
Otra noche sin ti
Otra noche sin ti

[Verso 2]
Supuestamente, ya yo te olvidé
Pero son las 11:34 y de ti me acordé (Yeh)
No te veo desde que me mudé
Pero soñé contigo anoche y te saludé
Tratando de sellar las cicatrices
He estado con modelo' y con actrices
Seguramente, yo nunca las quise
Seguramente, no sé ni por qué lo hice
Y en el garage está el Bentley que tanto querías
Me monto pa' fumar, imaginando que lo guías
Ya me cansan los threesome' y las orgías
Ya me cansa que mi vida siga vacía
Y recuerdo que me lo decías
Que si no cambiaba, te perdía
Como quisiera volver a esos días
Ahora que soy rico, no tengo lo que tenía
Pues mi Rolex no brilla igual que tu sonrisa
Y con estas putas no me gusta compartir la frisa
Si piensas volver, me avisa'
Mientras yo sigo solo

[Coro]
Otra noche en Miami (Yeh)
Otra noche en Miami
Otra noche en Miami
Otra noche en Miami
Otra noche sin ti
Otra noche sin ti
Otra noche sin ti (Otra noche sin ti)
Otra noche sin ti (Otra noche sin ti, yeh)",https://genius.com/Bad-bunny-otra-noche-en-miami-lyrics
Bad Bunny,X 100pre,Ser Bichote,Ser Bichote,"[Letra de ""Ser Bichote""]

[Intro]
Eh, eh, eh, eh, eh

[Estribillo]
Yo siempre quise ser bichote (Prr)
Yo siempre quise ser bichote (¡Yeh!)
Yo siempre quise ser bichote (¡Wouh!)
Y ahora somos bichotes, eh
Yo siempre quise ser bichote (Ey)
Yo siempre quise ser bichote (Ey)
Yo siempre quise ser bichote (Yeh)
Y ahora somos bichotes

[Verso 1]
Mami quería que yo fuera un ingeniero
Papi quería un pelotero
Mi maestra de segundo me dijo que fuera bombero
Nah, yo vo'a hacer lo que yo quiero
Siempre quise to'as las tenis y to'as las gorras (¡Wouh!)
El Pitbull, la BM, la cotorra
El Polaris, dejar que el nene lo corra
Un tatuaje no se borra
Siempre me gustó la bregadera (Prrr)
Siempre me gustó la jodedera, ey
Pero entendí que esa no era (Wouh, wouh, wouh)
Y ahora somo' millo' y sin disquera
Ferrari, Lambo' o Panamera
Si quiero compro el que yo quiera, ey (¡Wouh!)
Haciendo chavo' a mi manera
Mi respeto a todos en la nevera, yeah

[Estribillo]
Yo siempre quise ser bichote
Yo siempre quise ser bichote
Yo siempre quise ser bichote, yeh-eh, yeh (Prr)
Yo siempre quise ser bichote (Ey)
Yo siempre quise ser bichote (Prr)
Yo siempre quise ser bichote (¡Wouh!)
Y ahora somos bichotes

[Puente]
¿Cómo que qué me pasa a mí, papi?
Que yo mando aquí en el caserío
Y yo digo que te tienes que ir pa'l carajo
¡Tírala!

[Verso 2]
Aquí to' el mundo es calle (Eh)
Por dentro siempre voy a ser caco (Ja)
Donde quiera soy un naco (Ey, ey, ey)
De chamaquito yo capeaba como Polaco
Por eso tengo un flow bellaco (Wuh, wuh, wuh)
To' los que me critican, que se mueran juntos
Chorro 'e hijo 'e putas, resuelvan sus asuntos
Se cierran escuelas mientras se abren puntos
Entonces, ¿qué hago? Dime, te pregunto, eh

[Estribillo]
Y siempre quise ser bichote
Yo siempre quise ser bichote (Brr)
Yo siempre quise ser bichote (¡Wouh!)
Y ahora somos bichotes

[Outro]
Yeh, yeh, yeh, yeh
Bad Bunny, baby, -be-be-be
Yeh
EZ, EZ, EZ on the, on the beat, ah",https://genius.com/Bad-bunny-ser-bichote-lyrics
Bad Bunny,X 100pre,Si Estuviésemos Juntos,Si Estuviésemos Juntos,"[Letra de ""Si Estuviésemos Juntos""]

[Intro]
Yeh-yeh-yeh-yeh-yeh
Yeh-yeh-yeh-yeh
Yeh-yeh-yeh-yeh-yeh
Yeh

[Verso 1]
No sé si tu boca está besando a otra
En estos momentos, en estos momentos
Y no sé si tus ojos ya se olvidaron de mí
Y los pensamientos se fueron con el tiempo

[Estribillo]
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
Yeh-yeh

[Verso 2]
Todavía yo te espero
Aunque yo sé que tú no vas a volver
Todavía yo te quiero
Aunque yo sé que eso me puede joder
Y tengo tu foto guarda'
Tú y yo bailando cuando éramo' menore' de edad
Te digo la verda'
Te extraño el 14 y en la Navidad
Y lo' polvo' en la parte posterior
Del carro pa' los tiempo' en la superior
Siempre dejaba ropa interior
Cada polvo mejor que el anterior
Pero no como el primero
Tú sabe' que ese no se va a borrar
Ahora me paso en el putero, yeh
A otra persona no he podido amar
Y te juro que lo he trata'o
Pero es que ninguna se te para al la'o
Desde que te fuiste sigo trastorna'o
Escuchando Masterpiece, baby, me siento down
Si no tengo de tu piel, down
Deuces de Ñengo y De La, no la de Chris Brown
El cerebro dando vuelta', lo tengo marea'o
Cada cual por su la'o, yeh-eh

[Estribillo]
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
Y me pregunto qué hubiera pasado
Si estuviésemos juntos, aún enamorados
Yeh",https://genius.com/Bad-bunny-si-estuviesemos-juntos-lyrics
Bad Bunny,X 100pre,Solo de Mí,Solo de Mí,"[Letra de ""Solo de Mí""]

[Coro]
No me vuelvas a decir ""Bebé"" (¡No!)
Yo no soy tuyo ni de nadie, yo soy sólo de mí
No me vuelvas a decir ""Bebé"" (Yeh, eh)
Ya tú lo sabe' que yo no estoy ni un poquito pa' ti
No me vuelvas a decir ""Bebé"" (Uh, uh, uh)
Yo no soy tuyo ni de nadie, yo soy sólo de mí
Y no me vuelvas a decir ""Bebé"" (¡Eh!)
Ya tú lo sabe' que yo no estoy ni un poquito pa' ti
Yeh-eh, yeh

[Verso 1]
Lo nuestro ya se murió
Lo siento si te dolió
No fui yo quien decidió
Fuiste tú que lo jodió
Que en paz descanse lo de nosotro' (Wuh)
No me rompiste el corazón, ya yo lo tenía roto
Por eso, ni te amo, ni te odio
Alzando botella' en tu velorio
Esta noche me amanezco
¿Que me quisiste? Te lo agradezco; ey
Pero no te pertenezco
Hoy voy pa'l agua pa' ver qué pesco (Wuh)
Baby, tú ere' un atraso
Pon lo que tú quiera' en Facebook que yo no te vo'a hacer caso
Echa pa' allá, no me eche' el brazo

[Coro]
Y no me vuelvas a decir ""Bebé"" (Uh, uh, uh)
Yo no soy tuyo ni de nadie, yo soy sólo de mí
Y no me vuelvas a decir ""Bebé"" (Eh)
Ya tú lo sabes que yo no estoy ni un poquito pa' ti
No me vuelvas a decir ""Bebé"" (Uh, uh, uh)
Yo no soy tuyo ni de nadie, yo soy sólo de mí
No me vuelvas a decir ""Bebé"" (Eh)
Ya tú lo sabes, que yo no estoy ni un poquito pa' ti

[Verso 2]
Yeh, a ti nadie te llamó, arranca pa'l carajo
Hoy e' noche 'e travesura, hoy e' pata' abajo (Yeh)
¿Quiere' vacilar? Te tengo un atajo (Wuh)
Son de recetario que un pana me trajo; yeh, yeh (Rrrah)
Yo nunca la dejo caer, ey (Eh)
Dale, enrola pa' prender (Wuh)
¿""Bebé"" de qué cojone'? Eso fue ayer (Prr); ¡huh!
Sorry, te tocó perder (Jeje); ey
Me vio con otra y se mordió (¿Qué?)
Dime, mami, ¿qué te dio? (Wuh)
Me cago en la madre que te parió (Prr)
Contigo yo no vuelvo ni pa' Dio'
Yo lo que quiero e' perreo
Yo no como mierda y meno' pa'l bellaqueo
En bajita no me veo
La madre del que me joda el jangueo, eh

[Outro]
Mira, puñeta, no me quiten el perreo",https://genius.com/Bad-bunny-solo-de-mi-lyrics
Bad Bunny,X 100pre,Cuando Perriabas,Cuando Perriabas,"[Letra de ""Cuando Perriabas""]

[Intro: Bad Bunny]
Yeah-yeah-yeah
Yeah
Yo te llevo pa' Coachella, yo te llevo pa' Singapur
A tu novio de novela, lo pongo en el logo de los Bulls

[Coro: Bad Bunny]
Como cuando perriabas
Baby, no te hagas, que yo sé que le metías hasta abajo
Cuando perriabas
En un party de marquesina, postea'os en una esquina, yeah

[Verso 1: Bad Bunny]
Retirá' dice ella
Pero se lo olvida después de las doce y par de botella'
Ey, que estoy puesto pa' ella
Pa' prender y pa' meterlo en el paseo a las estrellas
Eh-eh
La jeva está suelta como gata sandunguera
Eh-eh
Siempre con condones y pasto en la cartera

[Pre-Coro: Bad Bunny]
Una galla, no se deja
No la cogen de pendeja
La Barbie que no venden en la tienda
La dura del perreo, es una leyenda

[Coro: Bad Bunny]
Por la forma en que perriabas
Baby, no te hagas que yo se que le metías hasta abajo
Cuando perriabas
En un party de marquesina, postea'os en una esquina
Mientras yo te perriaba
Baby, no te hagas que yo se que le metías hasta abajo
Cuando perriabas
En un party de marquesina, postea'os en una esquina

[Interludio: Plan B & Bad Bunny]
Bella-Bellaqueo
Tú eres otra, a ti no te pongo el de'o
Vuelvo otra vez con un lenguaje bien feo
Ven, chica ven, aquí hay bella—  hay bella—
Yeah, yeah

[Verso 3: Bad Bunny]
Yo sé que ahora estas tranquila y que te portas bien
Ey, pero baby yo también
Te juro que nadie se entera
Perreo la noche entera

[Pre-Coro: Bad Bunny]
Y bum, pa' atrá', bum-bum, pa' alante
Este party es sólo para la gente que aguante
Métele como lo hacías antes
Por detrás y por delante

[Coro: Bad Bunny]
Como cuando tú me perriabas
Baby no te hagas, que yo sé que le metías hasta abajo
Cuando perriabas
En un party de marquesina, postea'os en una esquina
Mientras yo te perriaba
Baby, no te hagas que yo se que le metías hasta abajo
Cuando perriabas
En un party de marquesina, postea'os en una esquina

[Outro: Bad Bunny, Plan B & Daddy Yankee]
Perreando
Baby, no te haga', no te haga'
Para-Para la gente que aguante
Mé-Mé-Métele como lo hacía antes, antes
Gata sandunguera
Tú me perreabas
Para la gente que aguante-guante
Tú me perreabas
Me-me-me-me-métele, métele, métele
Más lento, muévete, más lento, muévete, más lento, muévete, más lento
Muevete, más lento, muevete, más lento, muevete, más lento, muévete, más lento, muévete, más len—",https://genius.com/Bad-bunny-cuando-perriabas-lyrics
